Company_name,Website,Sector,Country,Source,Active,No_of_employees
Viatris,https://viatris.com,Pharmaceutical Manufacturing,,CompaniesAPI,True,
Cisco,https://cisco.com,Technology Information And Internet,,CompaniesAPI,True,
Intesa Sanpaolo,https://intesasanpaolo.com,Banking,,CompaniesAPI,True,
complexanolănámobaÂ<*;$$>=,https://telefonica.com,Telecommunications,,CompaniesAPI,True,
American Express,https://americanexpress.com,Banking,,CompaniesAPI,True,
Renesas Electronics Corporation,https://renesas.com,Semiconductors,,CompaniesAPI,True,
pall-corporation,https://pall.com,Biotechnology,,CompaniesAPI,True,
Luxoft,https://luxoft.com,It Services And It Consulting,,CompaniesAPI,True,
Atos,https://atos.net,It Services And It Consulting,,CompaniesAPI,True,
Qualcomm,https://qualcomm.com,Semiconductor Manufacturing,,CompaniesAPI,True,
Verizon,https://verizon.com,Telecommunications,,CompaniesAPI,True,
Splunk,https://splunk.com,Technology Information And Internet,,CompaniesAPI,True,
World Food Programme,https://wfp.org,Non Profits And Non Profit Services,,CompaniesAPI,True,
HCL Technologies,https://hcltech.com,Technology Information And Media,,CompaniesAPI,True,
Flex,https://flex.com,It Services And It Consulting,,CompaniesAPI,True,
Intelsat,https://intelsat.com,Satellite Telecommunications,,CompaniesAPI,True,
Comau,https://comau.com,Robotics Engineering,,CompaniesAPI,True,
SAIC,https://saic.com,It Services And It Consulting,,CompaniesAPI,True,
Alibaba.com,https://alibaba.com,Internet Marketplace Platforms,,CompaniesAPI,True,
Sanofi,https://sanofi.com,Pharmaceutical Manufacturing,,CompaniesAPI,True,
Roche,https://roche.com,Pharmaceutical Manufacturing,,CompaniesAPI,True,
Criteo,https://criteo.com,Technology Information And Internet,,CompaniesAPI,True,
CaixaBank,https://caixabank.com,Banking,,CompaniesAPI,True,
Tech Mahindra,https://techmahindra.com,Technology Information And Internet,,CompaniesAPI,True,
Synopsys,https://synopsys.com,Computer Software,,CompaniesAPI,True,
WhatsApp LLC,https://whatsapp.com,Internet,,CompaniesAPI,True,
Streamlabs,https://streamlabs.com,Computer Software,,CompaniesAPI,True,
Ciena,https://ciena.com,Telecommunications,,CompaniesAPI,True,
Centene,https://centene.com,Health And Human Services,,CompaniesAPI,True,
ORBCOMM,https://orbcomm.com,Telecommunications,,CompaniesAPI,True,
Klaviyo,https://klaviyo.com,Technology Information And Internet,,CompaniesAPI,True,
PNC,https://pnc.com,Banking,,CompaniesAPI,True,
Bank of America,https://bankofamerica.com,Banking,,CompaniesAPI,True,
Iliad,https://iliad.fr,Telecommunications,,CompaniesAPI,True,
Bancolombia,https://bancolombia.com,Banking,,CompaniesAPI,True,
VMware,https://vmware.com,Technology Information And Internet,,CompaniesAPI,True,
<j Unc,https://regions.com,Banking,,CompaniesAPI,True,
Gilead,https://gilead.com,Pharmaceutical Manufacturing,,CompaniesAPI,True,
Banco Bci,https://bci.cl,Banking,,CompaniesAPI,True,
Cvent,https://cvent.com,Software Development,,CompaniesAPI,True,
PayPal,https://paypal.com,Financial Services,,CompaniesAPI,True,
Rockstar Games,https://rockstargames.com,Computer Games,,CompaniesAPI,True,
Avalara,https://avalara.com,Software Development,,CompaniesAPI,True,
onsemi,https://onsemi.com,Semiconductor Manufacturing,,CompaniesAPI,True,
Vodafone,https://vodafone.com,Telecommunications,,CompaniesAPI,True,
Cardno,https://stantec.com,Home Health Care Services,,CompaniesAPI,True,
Att,https://att.com,Telecommunications,,CompaniesAPI,True,
Broadridge,https://broadridge.com,Information Technology And Services,,CompaniesAPI,True,
Telerik,https://telerik.com,Computer Software,,CompaniesAPI,True,
Agilent,https://agilent.com,Biotechnology Research,,CompaniesAPI,True,
Principal,https://principal.com,Financial Services,,CompaniesAPI,True,
Huntington,https://huntington.com,Banking,,CompaniesAPI,True,
CNET,https://cnet.com,Media And Telecommunications,,CompaniesAPI,True,
Shutterstock,https://shutterstock.com,Internet,,CompaniesAPI,True,
Cognizant,https://cognizant.com,It Services And It Consulting,,CompaniesAPI,True,
