S_No,Company_name,Website,Sector,Country,Source,Updated_at,Active,No_of_employees
1,"DYNAMOID, INC.",,,UNITED STATES,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
2,"15Five, Inc.",https://www.15five.com,HR Tech,United States,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
3,"1Huddle, Inc.",https://1huddle.co,"CPG (Consumer packaged goods), Health Tech, SaaS",United States,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
4,"21st Century Market, Inc.",https://www.21market.kr,Consumer,South Korea,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
5,3D Look Inc,https://3dlook.me,Fashion,United States,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
6,"Distilabs, Inc.",https://410labs.com,Developer Tools,United States,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
7,"42 Technologies, Inc.",https://www.42technologies.com,Retail,United States,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
8,8SEC SAS,https://8sec.games,Gaming,France,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
9,99 Group Pte. Ltd.,https://www.99.co,Real Estate,Singapore,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
10,"99 Minutos, Inc.",https://99minutos.com,Logistics,Mexico,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
11,9FIN Limited,https://9fin.com,Real Estate,United Kingdom,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
12,"9GAG, Inc",https://9gag.com,"Entertainment / Media, Social Impact",Hong Kong,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
13,"AA Audience, Inc.",https://aaaudi.com,FinTech,United States,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
14,"Abillionveg, Inc",https://www.abillion.com,"App, Sustainability, Social Impact",Singapore,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
15,"Track Technologies, Inc.",https://www.withabound.com,FinTech,United States,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
16,Acadium Inc.,https://acadium.com,HR Tech,Canada,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
17,"Tagove Limited, Inc.",https://acquire.io,"Content, Developer Tools",United Kingdom,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
18,"ActivityHero, Inc.",https://www.activityhero.com,Education,United States,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
19,ActualConversion Inc.,https://www.actualconversion.com,"Content, Data & Analytics",Canada,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
